houseName,houseScale,houseArea,houseLayers,houseDirect,community,detailAddress,price
弋江嘉园二期 精装两房-南北通透-轻轨站旁-中医院-师大,2室2厅,79㎡,中层（共7层）,南北向,弋江嘉园,"大学城-弋江嘉园九华南路文昌路,柏庄春暖花开东侧",10101元/㎡
碧桂园翠堤春晓2室2厅离近+公摊小得房,2室2厅,87㎡,低层（共11层）,南北向,碧桂园观澜湾,龙窝湖-碧桂园观澜湾芜湖市三山区龙窝湖旁,7816元/㎡
翡丽世家洋房 楼层可选 政务商圈一手新房 市场部专享价,3室2厅,117㎡,中层（共17层）,南向,信达翡丽世家,政务文化中心-信达翡丽世家,11965元/㎡
精装修146万3室2厅电梯房居家自住保养好,3室2厅,115.3㎡,低层（共11层）,南北向,三潭音悦,政务文化中心-三潭音悦,12662元/㎡
城南元亩塘公园旁舒适3房+小区环境优美+配套娱乐设施,3室2厅,100㎡,高层（共20层）,南北向,雅旭新乐府,南瑞-雅旭新乐府,12500元/㎡
"利达新村3/6层,二十七中师范,两居室中装南北随时看房",2室1厅,62.7㎡,中层（共6层）,南向,利达新村,银湖中路-利达新村银湖中路32号,10175元/㎡
南湖春晓城南核心位置好物业先到先得只有7栋楼,3室2厅,139㎡,中层（共33层）,南向,奥韵康城,奥林匹克公园-奥韵康城区利民东路418号,13525元/㎡
新城大都会97平小三房回家就是一种度假小区人文荟萃,3室2厅,97㎡,高层（共17层）,南北向,新城大都会,国际会展中心-新城大都会仓津路与大工山路交口向南约500米,11855元/㎡
中建调高5米!网红公寓!中医院旁!轻轨公寓低单价!,1室0厅,54㎡,低层（共30层）,南向,中建500米,大学城-中建500米乌霞山东路和九龙小区交汇处,7407元/㎡
"恒大华府,格家担保真实价格,,独佳房源",3室2厅,134㎡,低层（共15层）,南北向,恒大华府,政务文化中心-恒大华府区鸠江北路与赤铸山路交汇处东北方向,11343元/㎡
汇成名郡 讨巧两房 毛坯单价住家装修 诚心出售 价格还能小刀,2室2厅,83.7㎡,中层（共18层）,南向,汇成名郡,大学城-汇成名郡九华南路东侧(国际会展中心对面),14575元/㎡
碧桂园白鹭湾精装修拎包入住预约看房,2室2厅,86㎡,低层（共30层）,南北向,芜湖碧桂园白鹭湾,龙窝湖-芜湖碧桂园白鹭湾,6860元/㎡
"城市之光一街区,全南户型,房东急售,毛坯3房,户型方正",3室2厅,109㎡,低层（共13层）,南向,城市之光,政务文化中心-城市之光区中江大道与赤铸山东路交汇处西南侧,11926元/㎡
优!城南中御公馆 中式美宅 自配商圈 高品质性价比必选,3室2厅,109㎡,中层（共16层）,南北向,中御公馆,南瑞-中御公馆,12018元/㎡
春江明月 火遍城南 单价一万 精致小三房 全新一手 刚需必备,3室2厅,100㎡,中层（共32层）,南北向,皖新春江明月,南瑞-皖新春江明月利民东路中段(原新兴铸管厂地块),10000元/㎡
城徽派别墅芜湖古城70年产权住宅4A景区欢迎咨询,4室3厅,170㎡,高层（共1层）,南北向,芜湖古城,"镜湖-环城南路,近环城东路",24588元/㎡
"莲塘新村市!29中镜小,85平好楼层南北通透87万",2室2厅,85㎡,低层（共6层）,南北向,莲塘新村银莲园,银湖中路-莲塘新村银莲园芜湖镜湖莲塘新村银莲园,10470元/㎡
美好首玺大学城板块三室两厅两卫低首付高品质小区,3室2厅,117㎡,中层（共20层）,南北向,美好首玺,大学城-美好首玺,12393元/㎡
童话森林 首付20万 市三房 全智能一体化,3室2厅,98㎡,中层（共18层）,南北向,融创金地童话森林,瀂港-融创金地童话森林弋江南路与文津东路交口西北,12142元/㎡
慢城壹品好三房南北通透+花海环境优美+交通便利+单价低,3室2厅,121㎡,中层（共18层）,南北向,慢城壹品,一中-慢城壹品安徽省芜湖市芜湖县芜屯路南50米,4958元/㎡
"融创童话森林,背靠轻轨,融创楼盘,值得信赖.坐落边",3室2厅,104㎡,低层（共11层）,南北向,融创金地童话森林,瀂港-融创金地童话森林弋江南路与文津东路交口西北,12019元/㎡
"公园大道一楼带院子,无税有车位诚心出售 随时看房",3室2厅,131㎡,低层（共17层）,南向,伟星公园大道北峯,政务文化中心-伟星公园大道北峯,16793元/㎡
城东政务板块(金都檀宫)一手住宅刚需3房自带幼儿园,3室2厅,88㎡,中层（共18层）,南北向,金都檀宫,政务文化中心-金都檀宫清水镇芜屯城市干道,7954元/㎡
"奥韵康城南北通透!单价1万,无税精装商业环绕 交通便利",2室2厅,103㎡,低层（共24层）,南北向,奥韵康城,奥林匹克公园-奥韵康城区利民东路418号,10194元/㎡
"南北通透小三房,新房春江明月二期+纯毛坯交付+首付两成",3室2厅,96㎡,中层（共32层）,南北向,皖新春江明月,南瑞-皖新春江明月利民东路中段(原新兴铸管厂地块),10312元/㎡
"对!您没有看错,就是这个价格,无税大三房,低于市场价!",3室2厅,115㎡,低层（共32层）,南北向,芜湖碧桂园三山水韵,龙窝湖-芜湖碧桂园三山水韵安徽省芜湖市三山区碧桂园,6260元/㎡
华强江山府 新中式建筑风格 轻轨旁,1室0厅,110㎡,低层（共18层）,南北向,华强江山府,"三山-龙湖路,近高岗埠路",8454元/㎡
万科城北区3室2厅1卫114.0平米153.00万元,3室2厅,114㎡,低层（共16层）,南北向,万科城北区,政务文化中心-万科城北区,13421元/㎡
融创童话森林 刚需三房 首付20万起 一手渠道享团购优惠,3室2厅,89㎡,中层（共24层）,南北向,融创公元2020,南瑞-融创公元2020弋江南路72号,11797元/㎡
"镜湖轻轨盘,镜湖世家万达盘,市好位置,居家小户型火热推售",3室2厅,120㎡,中层（共17层）,南向,芜湖碧桂园镜湖春色,龙窝湖-芜湖碧桂园镜湖春色,15000元/㎡
落霞与孤鹜齐飞秋水共长天一色蔚蓝海岸一线江景豪装诚售,3室2厅,141㎡,中层（共34层）,南北向,伟星蔚蓝海岸,大学城-伟星蔚蓝海岸长江南路与红花山路交汇处,19503元/㎡
美式洋房繁华地段园林观景一手渠道享团购价新城大都会,3室2厅,122㎡,中层（共16层）,南北向,新城大都会,国际会展中心-新城大都会仓津路与大工山路交口向南约500米,12704元/㎡
瑞景苑成熟配套 首付十几万钻石楼层 户型经典 采光,2室2厅,86㎡,中层（共18层）,南北向,江城国际瑞景苑,南瑞-江城国际瑞景苑南瑞新城世纪联华向南,9069元/㎡
城南滨江 伟星长江之歌 三房朝南 带车位 江景房,3室2厅,168㎡,中层（共33层）,南北向,伟星长江之歌,银泰城-伟星长江之歌长江南路99号,14285元/㎡
"伟星公园大道,市府东公园旁,品质小区DI价出手,看房随时",3室2厅,129㎡,低层（共18层）,南北向,伟星公园大道和院,政务文化中心-伟星公园大道和院,14573元/㎡
"中建500领寓,高挑公寓,全景飘窗,一手新房无费用",1室2厅,58㎡,高层（共22层）,南北向,中建500米,大学城-中建500米乌霞山东路和九龙小区交汇处,6465元/㎡
翡丽世家电梯高层大阳垾公园芜湖城东政务区热闹地段价格,3室2厅,137㎡,低层（共17层）,南向,信达翡丽世家,政务文化中心-信达翡丽世家,11897元/㎡
融创童话森林 89平 电梯小三房3室2厅105万采光好,3室2厅,89.5㎡,低层（共25层）,南北向,融创公元2020,南瑞-融创公元2020弋江南路72号,11675元/㎡
"怡康江郡内部一手房。专享团购价,29中飞机户型采光",3室2厅,115㎡,中层（共25层）,南北向,怡康江郡,"镜湖-赤铸山西路,近滨江路",13043元/㎡
皖江壹号院 新出急售 D价 三房 全新毛坯 采光,3室2厅,109㎡,高层（共34层）,南北向,上铁皖江雅居,王家巷-上铁皖江雅居长江路与赤铸山西路交汇处,13486元/㎡
急售!!飞机户型豪装全送万科海上传奇满二无税随时看房,3室2厅,100㎡,低层（共34层）,南北向,万科海上传奇,瀂港-万科海上传奇长江南路与乌霞山西路交汇处,17600元/㎡
新城大都会!美式洋房.环境优美交通便利.全新商品房一手无费用,3室2厅,97㎡,中层（共24层）,南北向,新城大都会,国际会展中心-新城大都会仓津路与大工山路交口向南约500米,11855元/㎡
城市之光豪装两房好楼层无税房东急售随时看房,2室2厅,92.5㎡,高层（共16层）,南北向,城市之光,政务文化中心-城市之光区中江大道与赤铸山东路交汇处西南侧,14054元/㎡
"芜湖置业,手选100万买城南国企,开发就在旁边,一手渠道优惠",3室2厅,96㎡,高层（共29层）,南北向,皖新春江明月,南瑞-皖新春江明月利民东路中段(原新兴铸管厂地块),10312元/㎡
弋江区中建500米 灵动公寓开售 中医院旁找我有团购免费接送,1室1厅,47㎡,低层（共16层）,南向,中建500米,大学城-中建500米乌霞山东路和九龙小区交汇处,8085元/㎡
"万达广场精装公寓1改2,可以出租可以自住,低单价随时看房",2室1厅,62㎡,中层（共23层）,南北向,万达单身公寓,其他-万达单身公寓镜湖,6451元/㎡
一手房免稅免.中介.费首付28万买万科精装房找我优惠,3室2厅,119㎡,低层（共16层）,南向,伟星万科潮起中江,政务文化中心-伟星万科潮起中江,12857元/㎡
雅旭新乐府 城南核心板块 精致三房 两卫南北通透 公园,3室2厅,128㎡,高层（共22层）,南北向,雅旭新乐府,南瑞-雅旭新乐府,12343元/㎡
万科城南区+飞机户型+钻石楼层+精装修+无税通透,3室2厅,126.42㎡,高层（共17层）,南北向,万科城南区,政务文化中心-万科城南区安徽省芜湖市鸠江区涌金路南,13842元/㎡
"镜湖丽池骊湖270万元急售!好房不等人啊,抓紧时间下手",1室0厅,244.79㎡,低层（共3层）,南北向,丽池骊湖,镜湖-马鞍山,11029元/㎡
新春江明月 各种面积段 一手新房在售 免中介费 享受团购活动,3室2厅,99㎡,中层（共23层）,南北向,皖新春江明月,南瑞-皖新春江明月利民东路中段(原新兴铸管厂地块),10606元/㎡
伟星天境首付25万起轻奢小三房一手渠道价看房接送,3室2厅,102㎡,高层（共18层）,南北向,伟星天境,"弋江-利民路,近弋江路",13039元/㎡
柏庄春暖花开+钻石楼层+拎包入住+无=送车位,3室2厅,111.82㎡,中层（共18层）,南向,柏庄·春暖花开,大学城-柏庄·春暖花开九华南路安徽师范大学南校区对面,14755元/㎡
中御公馆重磅加推楼上楼下复试房户型漂亮车接车送看房,4室2厅,136㎡,低层（共16层）,南北向,中御公馆,南瑞-中御公馆,13382元/㎡
新房代理 品质奢华大气 城南必看神盘 碧桂园塘溪源著,3室2厅,126㎡,中层（共18层）,南北向,碧桂园·塘溪源著,大学城-碧桂园·塘溪源著,12301元/㎡
弋江嘉园二期精装无税通透两房好楼层随时看房,2室2厅,79㎡,中层（共6层）,南北向,弋江嘉园,"大学城-弋江嘉园九华南路文昌路,柏庄春暖花开东侧",10000元/㎡
奥韵康城精装两房 拎包入住 交通便利周边配套齐全,2室2厅,96㎡,高层（共24层）,南北向,奥韵康城,奥林匹克公园-奥韵康城区利民东路418号,11250元/㎡
万科城南区精装3房带车位满五业主诚心出售,3室2厅,113㎡,中层（共17层）,南向,万科城南区,政务文化中心-万科城南区安徽省芜湖市鸠江区涌金路南,13539元/㎡
公园大道精装三房钻石楼层采光师大附外雕塑公园旁,3室2厅,108.5㎡,高层（共17层）,南北向,伟星公园大道北峯,政务文化中心-伟星公园大道北峯,17511元/㎡
永盛花园毛坯三房 神盘 来袭现房交付团购优惠楼层 任选!,3室2厅,113㎡,中层（共23层）,南北向,海螺永盛花园,大学城-海螺永盛花园,6371元/㎡
金山美宿公寓|挂育红荟萃 住宅性质 包组十年 投赀性,1室1厅,42㎡,高层（共20层）,南北向,金山国际公寓,其他-金山国际公寓青山街与公安街交叉口,14761元/㎡
三潭音悦精装家电家具全丢中间位置采光无忧中上楼层,3室2厅,94.92㎡,高层（共17层）,南向,三潭音悦,政务文化中心-三潭音悦,14011元/㎡
"信达翡丽世家,央企盘,毗湿地公园 一手房市场部渠道价",3室2厅,117㎡,中层（共16层）,南向,信达翡丽世家,政务文化中心-信达翡丽世家,11794元/㎡
过日子好房 春江明月 户型好 单价1万多一丢丢 急售优惠房,3室2厅,100㎡,中层（共22层）,南北向,皖新春江明月,南瑞-皖新春江明月利民东路中段(原新兴铸管厂地块),10500元/㎡
弋江嘉园低公摊高采光经典户型。婚房装修一次未住看房随时。必卖,2室1厅,63㎡,高层（共6层）,南北向,弋江嘉园,"大学城-弋江嘉园九华南路文昌路,柏庄春暖花开东侧",9809元/㎡
柏庄春暖花开 D价 南北通透 双阳台 精装修 拎包入住,3室2厅,112㎡,低层（共11层）,南北向,柏庄·春暖花开,大学城-柏庄·春暖花开九华南路安徽师范大学南校区对面,13125元/㎡
"城东起中江政务新区,L型厨房,10米贯通阳台,3加1户型",3室2厅,119㎡,高层（共15层）,南北向,伟星万科潮起中江,政务文化中心-伟星万科潮起中江,13025元/㎡
伟星万科起中江精装j交付新房近地铁现可享受一手团购折扣优惠,3室2厅,99㎡,高层（共17层）,南北向,万科城南区,政务文化中心-万科城南区安徽省芜湖市鸠江区涌金路南,13636元/㎡
"金都檀宫,一手住宅,首付20万买政务区三房,专享优惠价",3室2厅,106.29㎡,高层（共6层）,南北向,金都檀宫,政务文化中心-金都檀宫清水镇芜屯城市干道,9878元/㎡
"(新房)融创童话森林,小户型,低总价,低首付,找我可享团购价",3室2厅,89㎡,中层（共15层）,南北向,融创金地童话森林,瀂港-融创金地童话森林弋江南路与文津东路交口西北,11797元/㎡
"壹号,毛坯三房,钻石楼层,南北通透,随时看房",3室2厅,91.77㎡,高层（共30层）,南向,中央城学府壹号,大学城-中央城学府壹号花津南路与文昌西路交叉口西北侧,14710元/㎡
拓基弘阳时光里洋房好楼层渠道专享价欲购私聊,3室2厅,104㎡,中层（共8层）,南北向,信德悦城,鸠江-赤铸山路,9326元/㎡
伟星天境118平三房赠13平接送,3室2厅,118㎡,高层（共11层）,南北向,伟星天境,"弋江-利民路,近弋江路",13135元/㎡
"单价8000多,无税,上林春天里朝南一房一厅,采光好楼层佳",1室2厅,59㎡,中层（共31层）,南向,上林春天里,大学城-上林春天里九华南路与纬七路交汇处,8813元/㎡
柏庄时代金座3.6米精装公寓可做两房,2室1厅,60㎡,中层（共25层）,南向,柏庄时代金座,大学城-柏庄时代金座,6500元/㎡
新房享团购价首付19万起电梯房交通便利配套齐全随时看房,3室2厅,109㎡,低层（共11层）,南北向,金都檀宫,政务文化中心-金都檀宫清水镇芜屯城市干道,7706元/㎡
"伟星桃花源墅独栋别墅一步一景,景随步移。",5室3厅,258㎡,低层（共3层）,南北向,芜湖碧桂园三山水韵,龙窝湖-芜湖碧桂园三山水韵安徽省芜湖市三山区碧桂园,9922元/㎡
"万科城婚房装修经典三房,随时看房 采光无忧有车位家电家具全丢",3室2厅,89.67㎡,高层（共17层）,南北向,万科城南区,政务文化中心-万科城南区安徽省芜湖市鸠江区涌金路南,14386元/㎡
希缺电梯 童話森林洋房王炸户型来袭 双阳台 总价低公摊小,3室2厅,97㎡,低层（共11层）,南北向,融创金地童话森林,瀂港-融创金地童话森林弋江南路与文津东路交口西北,12989元/㎡
弋江嘉园孝心楼层 刚需小三房 采光无遮挡 无税 价格美丽,3室2厅,86.77㎡,低层（共6层）,南北向,弋江嘉园,"大学城-弋江嘉园九华南路文昌路,柏庄春暖花开东侧",8966元/㎡
芜湖古城!城市!6大古迹!和院别墅!坐等你来!,1室0厅,210㎡,低层（共3层）,南向,芜湖古城,"镜湖-环城南路,近环城东路",25000元/㎡
中御公馆 央企品质自带商业配套 岁末钜惠 找我享团购价,3室2厅,109㎡,高层（共16层）,南北向,中御公馆,南瑞-中御公馆,11651元/㎡
"伟星城二期,一楼有院子,小区中间位置,坐在院子里鸟语花香",3室2厅,108㎡,低层（共6层）,南北向,伟星城,长江市场园-伟星城区赤铸山东路与弋江路交汇处,13888元/㎡
"急售!碧桂园镜湖春色大三房,南北通透 ,好楼层,采光好视野好",3室2厅,116.5㎡,中层（共32层）,南北向,芜湖碧桂园镜湖春色,龙窝湖-芜湖碧桂园镜湖春色,7725元/㎡
兆通大观业主诚售这个价格带一个车位无税!随时看房,3室2厅,135㎡,低层（共17层）,南北向,大观花园,政务文化中心-大观花园,11777元/㎡
蓝湾半岛精装二房+拎包入住+.附.小+轻轨旁+交通便利,2室2厅,49.2㎡,高层（共6层）,南向,蓝湾半岛,大学城-蓝湾半岛芜湖市弋江区文津东路,9756元/㎡
金浩边户可改小三房中间楼层无税随时看房无税,2室1厅,89㎡,低层（共21层）,南北向,金浩仁和天地,政务文化中心-金浩仁和天地仁和路与河清路交汇处东南侧,13707元/㎡
春江绿岛 3室2厅175万 南北通透 满二住房楼层好,3室2厅,147㎡,中层（共11层）,南北向,春江绿岛,大学城-春江绿岛纬五路北侧,11904元/㎡
